New B12 Name,4 Year Degrees offered?,4 Year vs. Two Year,College Type,State,Distance from NY,Barron's Rating,Website,Grad Rate,Freshman Retention
CUNY College of Staten Island,1,4 Year,1,NY,,1,www.csi.cuny.edu,0.29,0.83
CUNY Hostos Community College,0,2 Year,1,NY,,0,www.hostos.cuny.edu,0.12,0.67
CUNY Hostos Community College,0,2 Year,1,NY,,0,hostos.cuny.edu,0.16,0.67
CUNY Hunter College,1,4 Year,1,NY,,3,www.hunter.cuny.edu,0.5,0.87
CUNY John Jay College of Criminal Justice,1,4 Year,1,NY,,2,www.jjay.cuny.edu,0.34,0.78
CUNY Kingsborough Community College,0,2 Year,1,NY,,0,www.kbcc.cuny.edu,0.19,0.67
CUNY LaGuardia Community College,0,2 Year,1,NY,,0,www.lagcc.cuny.edu,0.17,0.64
CUNY Lehman College,1,4 Year,1,NY,,2,www.lehman.cuny.edu,0.37,0.82
CUNY Macaulay Honors College,1,4 Year,1,NY,,4,,0.85,
CUNY Medgar Evers College,1,2 Year,1,NY,,1,www.mec.cuny.edu,0.1,0.65
CUNY New York City College of Technology,1,2 Year,1,NY,,1,www.citytech.cuny.edu,0.14,0.77
CUNY Queens College,1,4 Year,1,NY,,3,www.qc.cuny.edu,0.56,0.84
CUNY Queensborough Community College,0,2 Year,1,NY,,0,www.qcc.cuny.edu,0.19,0.71
CUNY Stella and Charles Guttman Community College,0,2 Year,1,NY,,0,www.ncc.cuny.edu/index.html,0.49,0.74
CUNY The City College of New York,1,4 Year,1,NY,,4,www.ccny.cuny.edu,0.42,0.87
CUNY York College,1,4 Year,1,NY,,1,www.york.cuny.edu,0.26,0.74
Daemen College,1,4 Year,4,NY,,3,www.daemen.edu,0.49,0.74
Dartmouth College,1,4 Year,4,NH,,4,www.dartmouth.edu,0.95,0.98
Davidson College,1,4 Year,4,NC,,4,www.davidson.edu/,0.92,0.96
Dean College,1,2 Year,4,MA,,1,www.dean.edu,0.43,0.59
Del Mar College,0,2 Year,,,,0,,,
Delaware State Univ,1,4 year,3,DE,,2,www.desu.edu,0.37,0.65
Denison Univ,1,4 Year,4,OH,,4,www.denison.edu,0.81,0.89
DePauw Univ,1,4 Year,4,IN,,4,www.depauw.edu,0.79,0.92
Dickinson College,1,4 Year,4,PA,,4,www.dickinson.edu,0.86,0.9
Dominican College of Blauvelt,1,4 Year,4,NY,,2,www.dc.edu,0.36,0.67
Dowling College,1,4 year,4,NY,,2,WWW.DOWLING.EDU,0.34,0.62
Drew Univ,1,4 Year,4,NJ,,3,www.drew.edu,0.69,0.76
Drexel Univ,1,4 Year,4,PA,,3,www.drexel.edu,0.7,0.86
Duke Univ,1,4 Year,4,NC,,4,WWW.DUKE.EDU,0.94,0.97
Dutchess Community College,0,2 Year,2,NY,,0,www.sunydutchess.edu,0.24,0.6
East Carolina Univ,1,4 Year,3,NC,,2,,0.57,0.81
Eckerd College,1,4 Year,4,FL,,3,www.eckerd.edu,0.66,0.83
Elizabethtown College,1,4 Year,4,PA,,3,www.etown.edu,0.77,0.82
Elmira College,1,4 Year,4,NY,,3,www.elmira.edu,0.63,0.74
Elon Univ,1,4 Year,4,NC,,4,www.elon.edu,0.82,0.9
Emerson College,1,4 Year,4,MA,,4,www.emerson.edu,0.81,0.88
Emmanuel College-Massachusetts,1,4 Year,4,GA,,3,www.ec.edu,0.46,0.64
Emory Univ,1,4 Year,4,GA,,4,www.emory.edu,0.9,0.94
Empire Beauty School-Milwaukee,6,Vocational/Technical,6,NY,,,,0.7,
EMT School,6,Vocational/Technical,6,NY,,,,,
Erie Community College,0,2 Year,2,NY,,0,www.ecc.edu,0.24,0.53
Fairfield Univ,1,4 Year,4,CT,,3,fairfield.edu/,0.82,0.87
Fairleigh Dickinson Univ-Teaneck,1,4 Year,4,NJ,,3,www.fdu.edu,0.47,0.72
Fashion Institute of Technology,1,2 Year,2,NY,,,www.fitnyc.edu,0.7,0.88
Fayetteville State Univ,1,4 year,3,NC,,2,www.uncfsu.edu,0.32,0.71
Fayetteville Technical Community College,0,2 Year,3,NC,,0,www.faytechcc.edu,0.07,0.52
Finlandia Univ,1,4 Year,4,MI,,2,www.finlandia.edu,0.46,0.57
Florida Southern College,1,4 Year,4,FL,,3,,0.57,0.78
Fordham Univ,1,4 Year,4,NY,,4,www.fordham.edu,0.81,0.91
Franklin and Marshall College,1,4 Year,4,PA,,4,WWW.FANDM.EDU,0.87,0.92
Fulton-Montgomery Community College,0,2 Year,2,NY,,0,fmcc.edu,0.33,0.55
Furman Univ,1,4 Year,4,SC,,4,www.furman.edu,0.84,0.87
Genesee Community College,0,2 Year,2,NY,,0,www.genesee.edu,0.24,0.53
George Washington Univ,1,4 Year,4,DC,,4,www.gwu.edu,0.81,0.92
Georgetown College,1,4 Year,4,KY,,4,www.georgetowncollege.edu,0.57,0.76
Georgia Institute of Technology,1,4 Year,3,GA,,4,www.gatech.edu,0.82,0.96
Georgia State Univ,1,4 year,3,GA,,3,www.gsu.edu,0.53,0.82
Georgian Court Univ,1,4 year,4,NJ,,2,www.georgian.edu,0.51,0.71
Gettysburg College,1,4 Year,4,PA,,4,WWW.GETTYSBURG.EDU,0.84,0.88
Gonzaga Univ,1,4 Year,4,WA,,4,www.gonzaga.edu,0.82,0.94
Goucher College,1,4 Year,4,MD,,4,WWW.GOUCHER.EDU,0.68,0.85
Grand Canyon Univ,,,,,,,,,
Green Mountain College,1,4 Year,4,VT,,3,www.greenmtn.edu,0.41,0.7
Grinnell College,1,4 Year,4,IA,,4,www.grinnell.edu,0.86,0.93
Guilford College,1,4 Year,4,NC,,3,www.guilford.edu,0.57,0.72
Gustavus Adolphus College,1,4 Year,4,MN,,4,WWW.GUSTAVUS.EDU,0.82,0.92
Hamilton College-NY,1,4 Year,4,NY,,4,www.hamilton.edu,0.93,0.94
Hampshire College,1,4 Year,4,MA,,4,www.hampshire.edu,0.66,0.81
Hampton Univ,1,4 Year,4,VA,,3,www.hamptonu.edu,0.68,0.76
Harcum College,1,4 year,4,PA,,1,harcum.edu,0.41,0.56
Hartwick College,1,4 Year,4,NY,,3,www.hartwick.edu/,0.57,0.72
Harvard Univ,1,4 Year,4,MA,,4,www.harvard.edu,0.97,0.97
Haverford College,1,4 Year,4,PA,,4,www.haverford.edu,0.93,0.98
Herkimer County Community College,0,2 Year,2,NY,,0,www.herkimer.edu/,0.33,0.58
Hilbert College,1,4 Year,4,NY,,,www.hilbert.edu,0.41,0.75
Hillsborough Community College,0,2 Year,3,FL,,0,hccfl.edu,0.34,0.63
Hobart William Smith Colleges,1,4 Year,4,NY,,4,WWW.HWS.EDU,0.79,0.88
Hofstra Univ,1,4 Year,4,NY,,3,www.hofstra.edu,0.62,0.78
Hollins Univ,1,4 year,4,VA,,3,www.hollins.edu,0.6,0.67
Holy Cross College,1,4 Year,4,IN,,3,www.hcc-nd.edu,0.49,0.65
Holy Family Univ,1,4 year,4,PA,,2,www.holyfamily.edu,0.55,0.78
Hope College,1,4 Year,4,MI,,4,www.hope.edu,0.78,0.88
Houghton College,1,4 Year,4,NY,,3,www.houghton.edu,0.74,0.88
Houston Community College,0,2 Year,3,TX,,0,hccs.edu,0.19,0.67
Howard Univ,1,4 Year,4,DC,,3,www.howard.edu,0.61,0.82
Hudson County Community College,0,2 Year,3,NJ,,0,hccc.edu,0.13,0.52
Hudson Valley Community College,0,2 Year,2,NY,,0,hvcc.edu,0.29,0.57
Humboldt State Univ,0,4 Year,3,CA,,3,humboldt.edu,0.4,0.78
Immaculata Univ,1,4 Year,4,PA,,2,www.immaculata.edu,0.48,0.82
Indian River State College,0,2 Year,3,FL,,0,irsc.edu,0.41,
Institute of Culinary Education,6,Vocational/Technical,6,NY,,,,,
Inter American Univ of Puerto Rico-Metro,1,4 year,4,PR,,,www.aupr.edu,0.22,0.59
Iona College,1,4 Year,4,NY,,3,www.iona.edu,0.63,0.83
Ithaca College,1,4 Year,4,NY,,4,www.ithaca.edu,0.76,0.88
James Madison Univ,1,4 Year,3,VA,,3,www.jmu.edu/,0.82,0.92
Jamestown Community College-Jamestown,0,2 Year,2,NY,,0,sunyjcc.edu,0.35,0.67
Jefferson Community College,0,2 Year,2,NY,,0,www.sunyjefferson.edu,0.25,0.56
Jefferson State Community College,0,2 Year,3,AL,,0,jeffstateonline.edu,0.16,0.52
Johns Hopkins Univ,1,4 Year,4,MD,,4,www.jhu.edu,0.93,0.97
Johnson & Wales Univ,1,4 Year,4,RI,,2,www.jwu.edu,0.58,0.79
Juniata College,1,4 Year,4,PA,,3,www.juniata.edu,0.75,0.88
Kaplan Univ,,,,,,,,,
Kean Univ,1,4 year,3,NJ,,2,www.kean.edu,0.46,0.74
Kenyon College,1,4 Year,4,OH,,4,www.kenyon.edu/,0.89,0.96
Kenyon College,1,4 Year,4,OH,,4,www.kenyon.edu/,0.89,0.96
Keuka College,1,4 Year,4,NY,,2,www.keuka.edu,0.48,0.72
Knox College,1,4 Year,4,IL,,3,www.knox.edu,0.79,0.88
La Salle Univ,1,4 Year,4,PA,,3,www.lasalle.edu,0.64,0.83
Laboratory Institute of Merchandising,6,Vocational/Technical,6,NY,,,,,
Lackawanna College,0,2 Year,4,PA,,0,www.lackawanna.edu,0.26,0.52
Lafayette College,1,4 Year,4,PA,,4,www.lafayette.edu/,0.88,0.91
Lawrence Univ,1,4 Year,4,WI,,4,www.lawrence.edu,0.82,0.88
Le Moyne College,1,4 Year,4,NY,,3,www.lemoyne.edu,0.74,0.88
Lebanon Valley College,1,4 Year,4,PA,,3,www.lvc.edu,0.73,0.83
Lehigh Carbon Community College,0,2 Year,3,PA,,0,lccc.edu,0.19,0.56
Lehigh Univ,1,4 Year,4,PA,,4,www.lehigh.edu,0.86,0.94
Lesley Univ,1,4 Year,4,MA,,2,,,
Liberty Univ,1,4 Year,4,VA,,3,www.liberty.edu,0.5,0.69
Lincoln Technical Institute-New York,6,Vocational/Technical,5,NY,,,www.lincolntech.com,0.69,
Lincoln Technical Institute-Union,6,Vocational/Technical,6,NJ,,,,0.73,
Lincoln Univ-California,1,2 Year,4,CA,,0,www.lincolnuca.edu,0.76,0.73
Lincoln Univ-Pennsylvania,1,4 year,3,PA,,2,www.lincoln.edu,0.38,0.47
Long Island Univ,1,4 Year,4,NY,,2,www.liu.edu,0.3,0.59
Loyola Univ Maryland,1,4 Year,4,MD,,4,www.loyola.edu,0.84,0.87
Macalester College,1,4 Year,4,MN,,4,www.macalester.edu,0.87,0.95
Malone University,,,,,,,,,
Manhattan College,1,4 Year,4,NY,,3,www.manhattan.edu,0.74,0.88
Manhattanville College,1,4 Year,4,NY,,2,,0.58,0.75
Marist College,1,4 Year,4,NY,,3,www.Marist.edu,0.8,0.9
Marquette Univ,1,4 Year,4,WI,,3,www.marquette.edu,0.78,0.91
Marymount Manhattan College,1,4 Year,4,NY,,3,www.mmm.edu,0.44,0.66
Massachusetts College of Liberal Arts,1,4 Year,4,MA,,2,,0.52,0.79
Massachusetts Institute of Technology,1,4 Year,4,MA,,4,web.mit.edu/student/,0.93,0.98
McDaniel College,1,4 Year,4,MD,,3,www.mcdaniel.edu,0.72,0.84
Medaille College,1,4 Year,4,NY,,2,www.medaille.edu,0.49,0.59
Mercy College-Bronx,1,4 Year,4,NY,,3,mercy.edu,0.31,0.7
Mercy College-Dobbs Ferry,1,4 Year,4,NY,,3,www.mercy.edu,0.33,0.7
Messiah College,1,4 Year,4,PA,,3,www.messiah.edu,0.76,0.87
Metropolitan State College Denver,,,,,,,,,
Miami Dade College,1,2 Year,3,FL,,0,www.mdc.edu/main/,0.32,
Middlebury College,1,4 Year,4,VT,,4,www.middlebury.edu,0.94,0.95
Military,4,,,,,,,,
Mohawk Valley Community College,0,2 Year,2,NY,,0,www.mvcc.edu,0.21,0.58
Molloy College,1,4 Year,4,NY,,3,www.molloy.edu,0.66,0.89
Monmouth Univ,1,4 Year,3,NJ,,3,monmouth.edu,0.62,0.67
Monroe College,1,2 Year,4,NY,,2,www.monroecollege.edu,0.57,0.74
Montclair State Univ,1,4 year,3,NJ,,3,www.montclair.edu,0.63,0.86
Moody Bible Institute,1,4 Year,4,IL,,,www.moody.edu,0.84,0.78
Morehouse College,1,4 Year,4,GA,,3,www.morehouse.edu,0.54,0.8
Morgan State Univ,1,4 year,3,MD,,3,www.morgan.edu,0.34,0.72
Mount Holyoke College,1,4 Year,4,MA,,4,www.mtholyoke.edu,0.82,0.89
Mount St Mary College-New York,1,4 Year,4,NY,,2,www.msmc.edu,0.52,0.7
Muhlenberg College,1,4 Year,4,PA,,4,www.muhlenberg.edu,0.86,0.91
Nassau Community College,0,2 Year,2,NY,,0,www.ncc.edu/,0.19,0.73
Nazareth College,1,4 Year,4,NY,,3,www.naz.edu,0.68,0.79
Nazareth College,1,4 Year,4,NY,,3,naz.edu,0.7,0.79
Neumann College,1,4 Year,4,PA,,1,www.neumann.edu,0.5,0.66
New England College,1,4 year,4,NH,,1,www.nec.edu/,0.4,0.62
New Jersey Institute of Technology,6,Vocational/Technical,6,NJ,,,,0.56,0.86
New York Career Institute,6,Vocational/Technical,6,NY,,,,0.38,
New York Film Academy,6,Vocational/Technical,5,NY,,,,,
New York Institute of Technology,1,4 Year,4,NY,,3,www.nyit.edu,0.47,0.72
New York Univ,1,4 Year,4,NY,,4,www.nyu.edu,0.83,0.93
Niagara Univ,1,4 Year,4,NY,,3,www.niagara.edu,0.65,0.81
Norfolk State Univ,1,4 Year,3,VA,,1,www.nsu.edu,0.34,0.72
North Carolina A&T State Univ,1,4 year,3,NC,,2,ncat.edu,0.43,0.8
Northampton County Area Community College,0,2 Year,3,PA,,0,www.northampton.edu,0.17,0.63
Northern Virginia Community College,0,2 Year,3,VA,,0,,,
Northern Virginia Community College-Alexandria,0,2 year,3,VA,,0,nvcc.edu,0.43,0.67
Northwestern Univ,1,4 Year,4,IL,,4,www.northwestern.edu,0.94,0.98
Not Enrolled,3,,,,,,,,
Not Enrolled- Employed,3,,,,,,,,
Not planning to enroll,3,,,,,,,,
Nyack College,1,4 Year,4,NY,,1,www.nyack.edu,0.43,0.71
Nyack College-NYC Campus,1,4 Year,4,NY,,1,www.nyack.edu,0.43,0.71
Oberlin College,1,4 Year,4,OH,,4,www.oberlin.edu,0.89,0.93
Occidental College,1,4 Year,4,CA,,4,www.oxy.edu,0.88,0.93
Ocean County College,0,2 Year,3,NJ,,0,www.ocean.edu/,0.29,0.68
Onondaga Community College,0,2 Year,2,NY,,0,www.sunyocc.edu,0.19,0.54
Orange County Community College,0,2 Year,2,NY,,0,sunyorange.edu,0.24,0.64
Oregon Univ System,0,4 Year,3,OR,,2,oregonstate.edu,0.61,0.84
Pace Univ-New York,1,4 Year,4,NY,,3,www.pace.edu,0.51,0.76
Pace Univ-Pleasantville,1,4 Year,4,NY,,3,www.pace.edu,0.51,0.76
Paul Mitchell Cosmetology School,6,Vocational/Technical,6,NY,,,,,
Paul Smiths College of Arts and Sciences,1,4 Year,4,NY,,2,www.paulsmiths.edu,0.41,0.69
Penn Foster College,1,Vocational/Technical,5,AZ,,,pennfoster.edu,0.1,
Pennsylvania College of Technology,6,Vocational/Technical,6,PA,,,,0.48,0.7
Pennsylvania State Univ-Main Campus,1,4 Year,3,PA,,3,www.psu.edu/,0.85,0.92
Pepperdine Univ,1,4 Year,4,CA,,4,www.pepperdine.edu/,0.8,0.92
Phila Biblical Univ,,,,,,,,,
Pine Manor College,1,4 Year,4,MA,,1,www.pmc.edu,0.34,0.62
Pitzer College,1,4 Year,4,CA,,4,www.pitzer.edu,0.82,0.91
Point Park Univ,1,4 Year,4,PA,,3,www.pointpark.edu,0.5,0.76
Polytechnic Institute of New York Univ,1,4 Year,4,NY,,4,www.poly.edu,0.57,0.88
Pomona College,1,4 Year,4,CA,,4,www.pomona.edu,0.96,0.97
Porterville College,0,2 Year,3,CA,,0,portervillecollege.edu,0.28,0.68
Potomac College-Washington DC,1,4 Year,5,DC,,1,potomac.edu,0.2,0.33
Pratt Community College,0,2 Year,3,KS,,0,prattcc.edu,0.37,0.56
Pratt Institute,1,4 Year,4,NY,,3,www.pratt.edu,0.63,0.87
Princeton Univ,1,4 Year,4,NJ,,4,www.princeton.edu,0.97,0.98
Providence College,1,4 Year,4,RI,,3,www.providence.edu,0.85,0.91
Quinnipiac Univ,1,4 Year,4,CT,,3,www.quinnipiac.edu,0.76,0.85
Rhode Island School of Design,1,4 Year,4,RI,,4,www.risd.edu,0.87,0.93
Rhodes College,1,4 Year,4,TN,,4,www.rhodes.edu,0.78,0.93
Rice Univ,1,4 Year,4,TX,,4,www.rice.edu,0.91,0.98
River Bible Institute,,,,,,,,,
Robert Morris College,,,,,,,,,
Roberts Wesleyan College,1,4 Year,4,NY,,3,WWW.Roberts.edu,0.61,0.86
Rochester Institute of Technology,1,4 Year,4,NY,,3,www.rit.edu/,0.64,0.87
Russell Sage College,1,4 Year,4,NY,,3,www.sage.edu,0.58,0.78
Sage College Albany,1,4 Year,4,NY,,3,www.sage.edu,0.58,0.78
Sanford-Brown College-Atlanta,6,Vocational/Technical,5,GA,,,sanfordbrown.edu,0.65,0.74
"Sanford-Brown Institute, New York City",6,Vocational/Technical,6,NY,,,sanfordbrown.edu,0.65,0.74
Sarah Lawrence College,1,4 Year,4,NY,,4,www.slc.edu,0.69,0.83
Schenectady County Community College,0,2 Year,2,NY,,0,www.sunysccc.edu,0.15,0.57
School of Cooperative Technical Education,6,Vocational/Technical,6,NY,,,,,
School of Visual Arts,1,4 Year,5,NY,,,sva.edu,0.66,0.83
Seton Hall Univ,1,4 Year,4,NJ,,2,,0.65,0.83
Shaw Univ,1,4 Year,4,NC,,2,shawuniversity.edu,0.28,0.43
Siena College,1,4 Year,4,NY,,3,www.siena.edu,0.8,0.86
Skidmore College,1,4 Year,4,NY,,4,www.skidmore.edu/,0.86,0.93
Smith College,1,4 Year,4,MA,,4,www.smith.edu,0.86,0.94
South Carolina State Univ,1,4 Year,3,SC,,2,scsu.edu,0.35,0.6
South Florida State College,0,2 Year,3,FL,,0,,,
Spelman College,1,4 Year,4,GA,,3,www.spelman.edu,0.68,0.88
St Augustine's Univ,1,4 Year,4,NC,,1,www.st-aug.edu,0.29,0.61
St Bonaventure Univ,1,4 Year,4,NY,,3,www.sbu.edu,0.67,0.81
St Francis College,1,4 Year,4,NY,,2,www.sfc.edu,0.52,0.8
St John Fisher College,1,4 Year,4,NY,,3,www.sjfc.edu,0.73,0.83
St John's College-Maryland,1,4 Year,4,MD,,4,www.sjc.edu,0.63,0.89
St John's Univ-Jamaica,1,4 Year,4,NY,,3,www.stjohns.edu,0.56,0.8
St John's Univ-Queens,1,4 Year,4,NY,,3,www.stjohns.edu,0.56,0.8
St Joseph College,1,4 Year,4,CT,,3,usj.edu,0.55,0.77
St Joseph's College-Brooklyn,1,4 Year,4,NY,,3,www.sjcny.edu,0.72,0.84
St Joseph's College-Patchogue,1,4 Year,4,NY,,3,www.sjcny.edu,0.72,0.84
St Joseph's Univ,1,4 Year,4,PA,,3,www.sju.edu,0.79,0.89
St Lawrence Univ,1,4 Year,4,NY,,3,www.stlawu.edu,0.8,0.9
St Mary's College-Maryland,1,4 Year,3,MD,,3,www.smcm.edu,0.79,0.9
St Olaf College,1,4 Year,4,MN,,4,wp.stolaf.edu,0.87,0.94
St Thomas Aquinas College,1,4 Year,4,NY,,2,www.stac.edu,0.53,0.74
Stanford Univ,1,4 Year,4,CA,,4,www.stanford.edu/,0.96,0.99
Stevens Institute of Technology,1,4 Year,4,NJ,,4,www.stevens.edu,0.79,0.96
Stonehill College,1,4 Year,4,MA,,4,www.stonehill.edu,0.85,0.87
Stony Brook Univ,1,4 Year,2,NY,,4,www.stonybrook.edu,0.66,0.9
Sullivan County Community College,0,2 Year,2,NY,,0,sunysullivan.edu,0.19,0.5
SUNY 2 Year- Unknown,0,2 Year,2,NY,,0,,,
SUNY 4 Year- Unknown,1,4 Year,2,NY,,,,,
SUNY Adirondack,0,2 Year,2,NY,,0,WWW.SUNYACC.EDU,0.19,0.63
SUNY Albany,1,4 Year,2,NY,,3,www.albany.edu,0.66,0.82
SUNY Binghamton,1,4 Year,2,NY,,4,www.binghamton.edu,0.81,0.91
SUNY Brockport,1,4 Year,2,NY,,3,www.brockport.edu,0.67,0.81
